Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá,,,,Số phòng tắm,Trình trạng pháp lý,Nội thất,,Address,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
Nhà hẻm,Quận 12,50,4,2,4.75,,,,3,Have certificate,Basic,,"Hẻm 154, Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Chung cư,Quận Bình Tân,39.9,1,1,4.1,,,,1,Have certificate,Full,,"Đường Số 10, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",4,6,Đông,Đông
Nhà hẻm,Quận 12,50,4,3,6.29,,,,6,Have certificate,Full,,"Đường Thạnh Lộc 16, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4.5,12,Đông - Bắc,Đông - Bắc
Chung cư,Quận 8,32,4,3,6,,,,3,Have certificate,Basic,,"10/44, Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",3.2,4,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),69,2,2,8.7,,,,2,Have certificate,Full,,"Đường 27, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.6,12,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Tân Bình,52,4,3,7.9,,,,4,Have certificate,Full,,"156B, Đường Đông Hồ, Phường 8, Quận Tân Bình, Hồ Chí Minh",4,16,Đông,Đông
Nhà mặt tiền,Huyện Hóc Môn,79.8,1,3,2.85,,,,1,Have certificate,Basic,,"Đường Ấp 3, Xã  Đông Thạnh, Huyện Hóc Môn, Hồ Chí Minh",4.2,5,Đông - Bắc,Đông - Bắc
Chung cư,Quận 10,33,2,2,4.35,,,,2,Have certificate,Full,,"Đường Bà Hạt, Phường 4, Quận 10, Hồ Chí Minh",3.1,5,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Bình Tân,80,6,5,8.8,,,,7,Have certificate,Full,,"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,16,Bắc,Bắc
Chung cư,Quận Bình Tân,30,4,3,2.48,,,,3,Have certificate,Full,,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",5,4,Tây,Tây
Biệt thự,Quận 12,128,3,1,9.9,,,,2,Have certificate,Full,,"Đường Đông Hưng Thuận 11, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",5,12,Bắc,Bắc
Nhà mặt tiền,Quận 12,68,4,4,6.65,,,,6,Have certificate,Full,,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 10,71.2,4,3,10,,,,5,Have certificate,Full,,"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",5.8,6,Đông - Nam,Đông - Nam
Chung cư,Quận 4,26,3,5,6.6,,,,3,Have certificate,Basic,,"Số 4A Đường 50, Phường 2, Quận 4, Hồ Chí Minh",9,9,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Tân Phú,64,4,3,8.2,,,,3,Have certificate,Full,,"Hẻm 89, Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh",4,7,Tây,Tây
Chung cư,Quận 10,28.1,3,3,9.5,,,,3,Have certificate,Basic,,"Đường Trần Nhân Tôn, Phường 2, Quận 10, Hồ Chí Minh",29,15,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Bình Thạnh,85,2,2,7.8,,,,2,Have certificate,Basic,,"Đường Nơ Trang Long, Phường 12, Quận Bình Thạnh, Hồ Chí Minh",3.8,3,Bắc,Bắc
Biệt thự,Quận Bình Thạnh,157,7,4,10,,,,7,Have certificate,Basic,,"Đường Thanh Đa, Phường 27, Quận Bình Thạnh, Hồ Chí Minh",10,3,Đông - Nam,Tây - Nam
Nhà hẻm,Quận 7,50.02,4,3,6.2,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",4.1,5,Đông - Nam,Đông - Nam
Chung cư,Quận Tân Bình,27,2,2,4.15,,,,2,Have certificate,Full,,"Đường Bành Văn Trân, Phường 7, Quận Tân Bình, Hồ Chí Minh",3,3,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Bình Tân,92,5,4,8.1,,,,3,Have certificate,Full,,"Đường 38, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",4,8,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Tân Bình,50,4,3,8.5,,,,4,Have certificate,Full,,"156A, Đường Duy Tân, Phường 8, Quận Tân Bình, Hồ Chí Minh",5,16,Đông,Đông
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,4,7.45,,,,6,Have certificate,Full,,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Bình Tân,72,4,3,5.95,,,,4,Have certificate,Full,,"Hẻm 822, Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,8,Tây,Tây
Nhà hẻm,Quận Bình Tân,56,5,5,6.2,,,,5,Have certificate,Full,,"Đường 7, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",4,6,Tây - Nam,Tây - Nam
Chung cư,Quận 12,35,2,2,1.88,,,,2,Have certificate,Basic,,"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",5,5,Đông - Bắc,Đông - Bắc
Chung cư,Quận Phú Nhuận,22,2,2,3.8,,,,2,Have certificate,Basic,,"Đường Trần Khắc Chân, Phường 9, Quận Phú Nhuận, Hồ Chí Minh",2.89,2.5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 12,44,1,1,3.4,,,,1,Have certificate,Full,,"Đường Tân Thới Nhất 8, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",4,3,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Bình Tân,40,2,1,1.93,,,,2,Have certificate,Full,,"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",4,5,Tây,Tây
Nhà hẻm,Quận 7,53.4,2,2,4.95,,,,2,Have certificate,Basic,,"Hẻm 102, Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",4.45,4,Tây,Tây
Chung cư,Quận Tân Bình,33,3,4,4.99,,,,3,Have certificate,Full,,"Đường Trần Văn Quang, Phường 10, Quận Tân Bình, Hồ Chí Minh",3,4,Đông,Đông
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),90,4,1,5.9,,,,4,Have certificate,Full,,"Đường 7, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.8,5,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),92,4,3,7.5,,,,4,Have certificate,Full,,"Đường Số 48, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,5,Đông - Bắc,Đông - Bắc
Chung cư,Quận Gò Vấp,24,3,3,3.78,,,,3,Have certificate,Full,,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",3.5,3,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Bình Tân,60,5,5,8.5,,,,5,Have certificate,Full,,"Đường Tây Lân, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4.3,30,Bắc,Bắc
Nhà hẻm,Quận Bình Thạnh,58,3,3,6.75,,,,5,Have certificate,Full,,"Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Hồ Chí Minh",5.1,5,Bắc,Bắc
Nhà hẻm,Quận Bình Tân,55,4,4,5.8,,,,4,Have certificate,Full,,"Hẻm 616, Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",4.5,7,Đông,Đông
Nhà hẻm,Quận 7,43.4,4,3,5.6,,,,3,Have certificate,Full,,"Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh",3,3,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,2,2,3.75,,,,2,Have certificate,Full,,"Đường Tô Ngọc Vân, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 8,60,3,3,3.9,,,,3,Have certificate,Full,,"Đường Mễ Cốc, Phường 15, Quận 8, Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,51,4,5,6.1,,,,6,Have certificate,Basic,,"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4.6,11,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 12,50,4,5,5.9,,,,6,Have certificate,Full,,"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4.6,12,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 12,52,4,3,6.77,,,,5,Have certificate,Full,,"Đường Nguyễn Oanh, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4.8,10,Nam,Nam
Chung cư,Quận Gò Vấp,39,4,4,7.5,,,,4,Have certificate,Full,,"Đường Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Hồ Chí Minh",4.3,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Thạnh,44,4,4,6.7,,,,5,Have certificate,Full,,"Đường  Vạn Kiếp, Phường 3, Quận Bình Thạnh, Hồ Chí Minh",5.2,3,Tây,Tây
Chung cư,Quận Thủ Đức (TP. Thủ Đức),25.2,2,3,6.5,,,,1,Have certificate,Full,,"Đường 2, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.5,15,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 12,98.5,4,3,7.4,,,,3,Have certificate,Basic,,"Đường Thạnh Lộc 31, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4,8,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận 12,69.3,3,1,3.85,,,,3,Have certificate,Basic,,"Đường Thạnh Xuân 43, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",5.5,4,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Tân Bình,51,4,3,5.7,,,,3,Have certificate,Full,,"Đường Cống Lở, Phường 15, Quận Tân Bình, Hồ Chí Minh",5.1,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Tân Bình,56,4,3,8.9,,,,5,Have certificate,Basic,,"Đường Thái Thị Nhạn, Phường 10, Quận Tân Bình, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Chung cư,Quận Bình Thạnh,36,2,2,3.75,,,,2,Have certificate,Basic,,"Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",3,3,Tây - Nam,Tây - Nam
Chung cư,Quận Bình Thạnh,33,1,1,4.5,,,,2,Have certificate,Basic,,"Đường Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Hồ Chí Minh",4.2,3,Tây,Tây
Nhà hẻm,Quận Bình Thạnh,60,6,2,5.6,,,,5,Have certificate,Full,,"Đường Ngô Tất Tố, Phường 22, Quận Bình Thạnh, Hồ Chí Minh",3.5,5,Đông - Nam,Đông
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),94.1,2,2,6,,,,2,Have certificate,Full,,"Đường 22, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,5,Đông - Bắc,Đông - Bắc
Chung cư,Quận Bình Thạnh,37.9,4,4,7.1,,,,4,Have certificate,Full,,"Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",4.7,6,Nam,Nam
Nhà mặt tiền,Quận Tân Bình,69,4,3,7.45,,,,5,Have certificate,Full,,"118/, Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Hồ Chí Minh",4,8,Tây - Bắc,Tây - Bắc
Chung cư,Huyện Nhà Bè,30,2,2,1.4,,,,2,Sale contract,Full,,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",3,6,Đông,Đông
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,3,3,8.2,,,,3,Have certificate,Full,,"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Bắc,Bắc
Nhà hẻm,Quận 7,63,7,4,8.9,,,,8,Have certificate,Basic,,"Đường Số 53, Phường Tân Quy, Quận 7, Hồ Chí Minh",3.5,14,Nam,Nam
Nhà mặt tiền,Quận 8,84,4,3,6.5,,,,4,Have certificate,Full,,"Dự án Phú Lợi, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",4,20,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 6,44,5,5,9,,,,5,Have certificate,Full,,"Hẻm 633, Đường Hồng Bàng, Phường 6, Quận 6, Hồ Chí Minh",4,8,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 7,80.5,3,2,9.7,,,,4,Have certificate,Full,,"Đường  Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",5,6,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Gò Vấp,66,4,4,7.2,,,,5,Have certificate,Full,,"Đường Đỗ Thúc Tịnh, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4,4,Đông - Bắc,Bắc
Biệt thự,Quận 12,103,4,3,5.55,,,,4,Have certificate,Basic,,"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4.1,5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 12,58,3,2,3.49,,,,2,Have certificate,Full,,"Đường 35, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh",4,2,Đông - Nam,Đông - Nam
Chung cư,Quận Bình Thạnh,37,2,3,3.9,,,,3,Have certificate,Basic,,"Đường Đinh Tiên Hoàng, Phường 1, Quận Bình Thạnh, Hồ Chí Minh",3.7,3,Tây,Tây
Chung cư,Quận 12,33,2,3,1.98,,,,3,Have certificate,Basic,,"Đường Thạnh Xuân 43, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",3,8,Bắc,Bắc
Chung cư,Quận Gò Vấp,27,2,2,3.2,,,,2,Have certificate,Full,,"Đường Số 3, Phường 9, Quận Gò Vấp, Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Nhà hẻm,Huyện Hóc Môn,58.3,1,1,3.39,,,,1,Have certificate,Basic,,"Đường Đông Thạnh 4-2, Xã  Đông Thạnh, Huyện Hóc Môn, Hồ Chí Minh",5,8,Đông,Đông
Nhà hẻm,Quận Bình Tân,60,5,3,7.6,,,,5,Have certificate,Basic,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,9,Đông,Đông
Nhà hẻm,Quận 11,40,6,4,7.8,,,,5,Have certificate,Full,,"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",8,6,Đông - Bắc,Đông - Bắc
Biệt thự,Quận 2 (TP. Thủ Đức),174,4,4,5.8,,,,4,Have certificate,Full,,"Đường Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2 (TP. Thủ Đức), Hồ Chí Minh",4.6,5,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),83,5,2,6.8,,,,5,Have certificate,Basic,,"Đường Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, Quận 2 (TP. Thủ Đức), Hồ Chí Minh",5,4,Nam,Nam
Chung cư,Quận 7,35.7,2,2,3.45,,,,2,Have certificate,Basic,,"Hẻm 1041, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",3.85,3,Nam,Nam
Nhà mặt tiền,Quận 7,90,4,4,7.7,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",5,5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),81,4,3,5.3,,,,4,Have certificate,Full,,"Đường 185, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",3.5,4,Đông - Bắc,Đông - Bắc
Chung cư,Quận Bình Tân,30,2,2,2.2,,,,2,Have certificate,Basic,,"Đường Bình Trị Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4,6,Tây,Tây
Nhà mặt tiền,Quận Tân Phú,76,4,3,8.2,,,,4,Have certificate,Full,,"Hẻm 249, Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Nhà hẻm,Huyện Hóc Môn,40,2,1,1.58,,,,2,Have certificate,Full,,"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh",5,5,Bắc,Bắc
Nhà hẻm,Quận Gò Vấp,46.3,4,4,5.7,,,,5,Have certificate,Basic,,"Đường Nguyễn Duy Cung, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4,5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),50,2,2,3.8,,,,2,Have certificate,Full,,"Đường Số 9, Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 12,60,4,5,6.3,,,,5,Have certificate,Basic,,"Đường Thới An 22, Phường Thới An, Quận 12, Hồ Chí Minh",4,12,Đông - Bắc,Đông - Bắc
Biệt thự,Quận 9 (TP. Thủ Đức),119,4,3,5.75,,,,3,Have certificate,Basic,,"Dự án Rosita Garden Khang Điền, Đường 990, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Đông - Bắc,Đông - Bắc
Chung cư,Quận 10,32,5,5,7.2,,,,3,Have certificate,Basic,,"Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh",4.7,5,Tây - Nam,Tây - Nam
Chung cư,Quận Phú Nhuận,36,5,4,6.25,,,,4,Have certificate,Full,,"Đường Hoàng Hoa Thám, Phường 5, Quận Phú Nhuận, Hồ Chí Minh",8.5,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,56,4,2,4.2,,,,2,Have certificate,Full,,"Đường Hương lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4,6,Tây,Tây
Nhà mặt tiền,Quận Gò Vấp,70,4,4,7.2,,,,6,Have certificate,Basic,,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",5.5,5,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Tân Phú,65,3,4,7.1,,,,3,Have certificate,Basic,,"Đường Nguyễn Quý Anh, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",4.4,6,Đông,Đông
Chung cư,Quận 12,33.6,2,2,2.88,,,,2,Have certificate,Full,,"Đường Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",3.5,2,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 10,55.3,8,5,10,,,,5,Have certificate,Full,,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",5,7,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),96,3,1,4.6,,,,2,Have certificate,Full,,"1/, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",6,5,Bắc,Bắc
Nhà mặt tiền,Quận 12,76.5,4,3,7.9,,,,3,Have certificate,Basic,,"Đường Thạnh Xuân 21, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,8,Đông - Nam,Tây - Nam
Chung cư,Quận 12,38,2,2,3.25,,,,2,Have certificate,Basic,,"Đường Thới An 11, Phường Thới An, Quận 12, Hồ Chí Minh",3.65,2.5,Tây,Tây
Biệt thự,Quận 9 (TP. Thủ Đức),100,4,3,9.45,,,,4,Have certificate,Full,,"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,20,Đông,Đông
Chung cư,Quận Bình Tân,32,2,1,3.48,,,,2,Have certificate,Basic,,"Đường Số 14, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,4,Bắc,Bắc
Nhà hẻm,Quận 12,50,4,5,5.9,,,,6,Have certificate,Full,,"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4.65,12,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Bình Thạnh,50,2,1,6.4,,,,1,Have certificate,Full,,"Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, Hồ Chí Minh",4,4,Nam,Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),70,4,4,6.9,,,,4,Have certificate,Full,,"Đường 48, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.5,12,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Huyện Hóc Môn,88.4,4,2,4.85,,,,2,Have certificate,Full,,"Đường Lê Thị Lơ, Xã Tân Hiệp, Huyện Hóc Môn, Hồ Chí Minh",4,8,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Tân Phú,56,2,2,4.8,,,,2,Have certificate,Basic,,"13/14/ Đường Lương Thế Vinh, Phường Tân Thới Hòa, Quận Tân Phú, Hồ Chí Minh",4,4,Nam,Nam
Nhà mặt tiền,Quận 8,65,4,6,6.8,,,,4,Have certificate,Basic,,"156, Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh",5,12,Đông,Đông
Chung cư,Quận Bình Tân,21,2,2,1.66,,,,2,Have certificate,Full,,"Đường Đình Nghi Xuân, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",6,4,Bắc,Bắc
Nhà hẻm,Quận 8,44.5,3,2,3.35,,,,2,Have certificate,Full,,"528A/15A Đường Hưng Phú, Phường 9, Quận 8, Hồ Chí Minh.",4.29,2,Đông - Nam,Đông - Nam
Chung cư,Quận 11,38.1,4,3,6.2,,,,3,Have certificate,Basic,,"Đường Bình Thới, Phường 11, Quận 11, Hồ Chí Minh",3.1,5,Tây - Nam,Tây - Nam
Chung cư,Quận 12,38,3,3,2.55,,,,3,Have certificate,Full,,"Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",4,6,Đông,Đông
Nhà hẻm,Quận 12,40,2,2,2.89,,,,2,Have certificate,Full,,"1/, Đường Tân Thới Hiệp 13, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",4,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Tân Bình,60,5,4,7.5,,,,5,Have certificate,Full,,"Đường  Lý Thường Kiệt, Phường 7, Quận Tân Bình, Hồ Chí Minh",5,10,Đông,Đông
Nhà hẻm,Quận Gò Vấp,47.8,4,4,5.5,,,,4,Have certificate,Basic,,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh",4,4,Đông - Bắc,Đông - Bắc
Chung cư,Quận 6,32,2,2,8.6,,,,2,Have certificate,Full,,"Đường Lê Quang Sung, Phường 2, Quận 6, Hồ Chí Minh",3.3,16,Bắc,Bắc
Nhà hẻm,Quận 1,46,4,2,6,,,,2,Have certificate,Basic,,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh",46,3,Tây - Nam,Tây - Nam
Nhà mặt tiền,Huyện Nhà Bè,97.8,4,4,8.6,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",4.5,9,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),94,3,3,7.7,,,,4,Have certificate,Basic,,"Đường 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Chung cư,Quận Gò Vấp,31,3,2,3.79,,,,3,Have certificate,Full,,"Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh",3,3,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 12,64,4,5,6.5,,,,6,Have certificate,Full,,"Dự án Nhà phố One Palace, Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",32,32,Đông,Đông
Nhà hẻm,Quận 8,56,3,3,7.3,,,,3,Have certificate,Basic,,"266, Đường Bùi Minh Trực, Phường 6, Quận 8, Hồ Chí Minh",4,8,Nam,Nam
Chung cư,Quận 11,21.3,2,2,3.8,,,,2,Have certificate,Full,,"Đường Lê Thị Bạch Cát, Phường 11, Quận 11, Hồ Chí Minh",5.3,6,Đông - Nam,Đông - Nam
Nhà mặt tiền,Huyện Nhà Bè,80.3,4,4,6.5,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",7.3,6,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Bình Tân,80,3,3,9,,,,3,Have certificate,Full,,"Đường 32B, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",4,8,Đông,Đông
Chung cư,Quận Bình Tân,19,2,2,1.83,,,,1,Have certificate,Full,,"Đường Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4.17,2,Đông,Đông
Nhà hẻm,Quận Bình Tân,62.5,2,1,5.2,,,,2,Have certificate,Basic,,"Đường Số 5, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",5,6,Đông,Đông
Nhà hẻm,Quận Bình Tân,44,4,3,4.4,,,,3,Have certificate,Basic,,"239, Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4,6,Bắc,Bắc
Nhà hẻm,Quận 11,44,3,2,5.2,,,,2,Have certificate,Full,,"152/Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",4.15,3,Đông - Nam,Đông - Bắc
Nhà hẻm,Quận Tân Phú,59,4,3,10,,,,3,Have certificate,Basic,,"Đường Độc Lập, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh",5,12,Tây,Tây
Nhà mặt tiền,Quận 8,79.2,1,2,4.4,,,,1,Sale contract,Basic,,"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",10,10,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Tân Phú,82,2,1,7.8,,,,1,Have certificate,Basic,,"Đường Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, Hồ Chí Minh",4.5,4.5,Nam,Bắc
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),100,3,3,7.7,,,,4,Have certificate,Full,,"Đường 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,8,Tây - Nam,Tây - Nam
